     Input  Canonical    Reduced
    GCQeRW     GDGia[      FAWkg -C-_- [(0, 3), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (3, 6), (4, 5), (4, 7), (5, 7), (6, 7)]
    GCQeR[     GR?HY{      FCSrW -C-_- [(0, 2), (1, 3), (1, 7), (2, 3), (2, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeRg     G@dSRK     G@dSRK -C-R- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 7), (3, 4), (3, 5), (4, 6), (5, 7), (6, 7)]
    GCQeRk     G@UCj[     G@UCj[ -C-R- [(0, 5), (0, 6), (1, 4), (1, 7), (2, 3), (2, 7), (3, 4), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeRo     GOsOjK      FGFTO -C-_- [(0, 2), (0, 4), (1, 4), (1, 7), (2, 7), (3, 4), (3, 5), (3, 6), (5, 6), (5, 7), (6, 7)]
    GCQeRs     GU?Gz[      FOoZg -C-_- [(0, 2), (0, 3), (1, 3), (1, 7), (2, 7), (3, 6), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeRw     GDGie[      FOoZg -C-_- [(0, 3), (0, 7), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (3, 6), (4, 5), (4, 7), (5, 7), (6, 7)]
    GCQeR{     GL?H]{      F@dVW -C-_- [(0, 3), (0, 7), (1, 2), (1, 7), (2, 3), (2, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeTg     G@Os]S      F_Dhw -C-_- [(0, 6), (0, 7), (1, 4), (1, 7), (2, 3), (2, 5), (3, 5), (4, 6), (4, 7), (5, 6), (6, 7)]
    GCQeTk     G_F@X{      FA_zw -C-_- [(0, 1), (0, 5), (1, 5), (2, 6), (2, 7), (3, 4), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeUS     GGCW|K       ECOw -C-_- [(0, 7), (1, 2), (2, 7), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    GCQeUW     G@M@i[      F@IIw -C-_- [(0, 5), (1, 7), (2, 3), (2, 4), (2, 6), (3, 4), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeU[     G@_qX{      FAIXw -C-_- [(0, 4), (1, 6), (2, 3), (2, 5), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeUg     G@MAi[     G@MAi[ -C-R- [(0, 5), (1, 6), (1, 7), (2, 3), (2, 4), (3, 4), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeUk     GA`PX{     GA`PX{ -C-R- [(0, 4), (1, 3), (1, 5), (2, 6), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeUs     G_CZH{      F_Dhw -C-_- [(0, 1), (1, 6), (2, 6), (2, 7), (3, 4), (3, 5), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeUw     G@MBI{      F@`iw -C-_- [(0, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 6), (3, 4), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeU{     G@_qZ{      FA_zw -C-_- [(0, 4), (1, 6), (1, 7), (2, 3), (2, 5), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeVG     G@Oqs[     G@Oqs[ -C-R- [(0, 7), (1, 4), (1, 6), (2, 3), (2, 5), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (6, 7)]
    GCQeVK     GAHSX{     GAHSX{ -C-R- [(0, 6), (1, 3), (1, 5), (2, 4), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeVO     GGCYtK      FAHcw -C-_- [(0, 7), (1, 2), (1, 6), (2, 7), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 7), (6, 7)]
    GCQeVS     GGC]H{      FGFHw -C-_- [(0, 6), (1, 2), (1, 6), (2, 7), (3, 4), (3, 5), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeVW     G@LDI{      FGFHw -C-_- [(0, 6), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (3, 4), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeV[     G@OsZ{      FAIZw -C-_- [(0, 6), (1, 4), (1, 7), (2, 3), (2, 5), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeV_     G@PLSk     G@PLSk -C-R- [(0, 6), (0, 7), (1, 4), (1, 5), (2, 3), (2, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GCQeVc     GCQaX{     GCQaX{ -C-R- [(0, 3), (0, 5), (1, 4), (1, 6), (2, 5), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeVg     GCd@j[     GCd@j[ -C-R- [(0, 3), (0, 4), (1, 5), (1, 7), (2, 6), (2, 7), (3, 4), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeVk     G@`SZ{     G@`SZ{ -C-R- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeVo     G_C\b[      FGFTW -C-_- [(0, 1), (0, 6), (1, 7), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (4, 5), (4, 7), (5, 7), (6, 7)]
    GCQeVs     GOC]J{      F_IZw -C-_- [(0, 2), (0, 6), (1, 6), (1, 7), (2, 7), (3, 4), (3, 5), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeVw     G@MBM{      F_IZw -C-_- [(0, 5), (0, 7), (1, 6), (1, 7), (2, 3), (2, 4), (2, 6), (3, 4), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeV{     G@_q^{      FCO~w -C-_- [(0, 4), (0, 7), (1, 6), (1, 7), (2, 3), (2, 5), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQe\k     G@`H}[      FAMZw -C-_- [(0, 4), (0, 7), (1, 5), (1, 7), (2, 3), (2, 6), (3, 6), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQe][     G@`Hx{       ECSw -C-_- [(0, 4), (1, 5), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQe^K     G@QIx{     G@QIx{ -C-R- [(0, 5), (1, 4), (1, 6), (2, 3), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQe^W     G@MIZk      F@X[w -C-_- [(0, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 7), (3, 4), (3, 7), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    GCQe^[     G@`Hz{      FAMZw -C-_- [(0, 4), (1, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQe^g     GCdHZk     GCdHZk -C-R- [(0, 3), (0, 4), (1, 5), (1, 7), (2, 6), (2, 7), (3, 4), (3, 7), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    GCQe^k     GCOkz{     GCOkz{ -C-R- [(0, 3), (0, 6), (1, 4), (1, 7), (2, 5), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQe^o     GOCzMs      FAM^G -C-_- [(0, 2), (0, 7), (1, 6), (1, 7), (2, 5), (2, 6), (3, 4), (3, 5), (3, 7), (4, 5), (4, 7), (5, 6), (6, 7)]
    GCQe^s     GOD`}{      F@d^W -C-_- [(0, 2), (0, 7), (1, 5), (1, 7), (2, 5), (2, 6), (3, 4), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQe^w     G@MI^k      F@d^W -C-_- [(0, 5), (0, 7), (1, 6), (1, 7), (2, 3), (2, 4), (2, 7), (3, 4), (3, 7), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    GCQe^{     G@`H~{      FCS~w -C-_- [(0, 4), (0, 7), (1, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeag     G?C|bO     G?C|bO -C-R- [(0, 6), (1, 7), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (4, 5), (4, 7)]
    GCQebW     GCdPRK     GCdPRK -C-R- [(0, 3), (0, 4), (1, 5), (1, 7), (2, 6), (2, 7), (3, 4), (3, 5), (4, 6), (5, 7), (6, 7)]
    GCQebg     G@gqa[     G@gqa[ -C-R- [(0, 4), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (3, 5), (3, 6), (4, 7), (5, 7), (6, 7)]
    GCQebo     GOdOrK     GOdOrK -C-R- [(0, 2), (0, 4), (1, 5), (1, 7), (2, 7), (3, 4), (3, 5), (3, 6), (4, 6), (5, 7), (6, 7)]
    GCQebw     G@Mae[     G@Mae[ -C-R- [(0, 5), (0, 7), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 7), (6, 7)]
    GCQedS     GAG]LK     GAG]LK -C-R- [(0, 6), (0, 7), (1, 3), (1, 6), (2, 4), (2, 7), (3, 5), (4, 5), (5, 6), (5, 7), (6, 7)]
    GCQedc     GK@HW{     GK@HW{ -C-R- [(0, 3), (1, 2), (1, 5), (2, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeds     GQAIX{     GQAIX{ -C-R- [(0, 2), (0, 5), (1, 3), (1, 6), (2, 7), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQedw     GSOOz[     GSOOz[ -C-R- [(0, 2), (0, 3), (1, 4), (1, 7), (2, 7), (3, 5), (3, 6), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeeK     GCOXh[     GCOXh[ -C-R- [(0, 3), (1, 4), (2, 6), (2, 7), (3, 5), (3, 6), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeeS     GODaW{     GODaW{ -C-R- [(0, 2), (1, 5), (1, 6), (2, 5), (3, 4), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeeW     GAMAh[     GAMAh[ -C-R- [(0, 5), (1, 3), (1, 6), (2, 4), (2, 7), (3, 4), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeec     GK?Wx[      FCOpW -C-_- [(0, 3), (1, 2), (2, 7), (3, 5), (3, 6), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeek     GCOpX{     GCOpX{ -C-R- [(0, 3), (1, 4), (2, 5), (2, 6), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeeo     GQ?Yp[     GQ?Yp[ -C-R- [(0, 2), (1, 3), (1, 6), (2, 7), (3, 5), (3, 6), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7)]
    GCQees     G_HOx{     G_HOx{ -C-R- [(0, 1), (1, 5), (2, 4), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeew     GBI@Y{     GBI@Y{ -C-R- [(0, 5), (1, 3), (1, 7), (2, 3), (2, 4), (2, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQefC     G@`PY[     G@`PY[ -C-R- [(0, 4), (1, 5), (1, 7), (2, 3), (2, 6), (3, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQefK     GCHQX{     GCHQX{ -C-R- [(0, 3), (1, 5), (1, 6), (2, 4), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQefO     G@`LQk     G@`LQk -C-R- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GCQefS     GOFAX{     GOFAX{ -C-R- [(0, 2), (0, 5), (1, 5), (1, 6), (2, 7), (3, 4), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQefW     GCScj[     GCScj[ -C-R- [(0, 3), (0, 6), (1, 4), (1, 7), (2, 5), (2, 7), (3, 4), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQef[     GAISZ{     GAISZ{ -C-R- [(0, 5), (0, 6), (1, 3), (1, 7), (2, 4), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQefc     GG`Ox{     GG`Ox{ -C-R- [(0, 4), (1, 2), (1, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQefg     GDH@Y{     GDH@Y{ -C-R- [(0, 3), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQefk     GOOoz{     GOOoz{ -C-R- [(0, 2), (1, 4), (1, 7), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQefo     GOSSj[     GOSSj[ -C-R- [(0, 2), (0, 6), (1, 4), (1, 7), (2, 7), (3, 4), (3, 5), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQefs     GQ?[Z{     GQ?[Z{ -C-R- [(0, 2), (0, 6), (1, 3), (1, 7), (2, 7), (3, 5), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQefw     GDH@]{     GDH@]{ -C-R- [(0, 3), (0, 7), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQef{     GCOp^{     GCOp^{ -C-R- [(0, 3), (0, 7), (1, 4), (1, 7), (2, 5), (2, 6), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQerW     G@`Lrg      FANTO -C-_- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7)]
    GCQer[     G@`Lrk      FANTW -C-_- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GCQerg     G@QTZo     G@QTZo -C-R- [(0, 5), (0, 6), (1, 4), (1, 7), (2, 3), (2, 6), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6)]
    GCQerk     G@QTZs     G@QTZs -C-R- [(0, 5), (0, 6), (1, 4), (1, 7), (2, 3), (2, 6), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    GCQerw     GWDA|w      FDLeW -C-_- [(0, 2), (0, 7), (1, 2), (1, 5), (1, 6), (2, 7), (3, 4), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    GCQer{     GWDA|{      FDHmw -C-_- [(0, 2), (0, 7), (1, 2), (1, 5), (1, 6), (2, 7), (3, 4), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQetk     GG_[zk      FAgzw -C-_- [(0, 4), (0, 6), (1, 2), (1, 7), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    GCQeu[     G@`Jh{      FCXXw -C-_- [(0, 4), (1, 5), (1, 6), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeuk     GK?Xz[     GK?Xz[ -C-R- [(0, 3), (1, 2), (1, 7), (2, 6), (2, 7), (3, 5), (3, 6), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeus     G`@Hx{       ECLg -C-_- [(0, 1), (1, 5), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQeuw     GG`ozs      FOSzg -C-_- [(0, 4), (1, 2), (1, 5), (1, 7), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    GCQeu{     G`@Hz{      FOLZw -C-_- [(0, 1), (1, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQevK     GCOli{     GCOli{ -C-R- [(0, 3), (0, 6), (1, 4), (1, 7), (2, 5), (2, 6), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQevW     G@QsZs      FAiZg -C-_- [(0, 5), (0, 6), (1, 4), (1, 7), (2, 3), (2, 5), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    GCQev[     G@QLj{      F@qZw -C-_- [(0, 5), (0, 6), (1, 4), (1, 7), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQevc     GK?ky{     GK?ky{ -C-R- [(0, 3), (0, 6), (1, 2), (1, 7), (2, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQevg     GOQozs     GOQozs -C-R- [(0, 2), (0, 5), (1, 4), (1, 7), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    GCQevk     GOO\j{     GOO\j{ -C-R- [(0, 2), (0, 6), (1, 4), (1, 7), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQevo     G`?{Zs      FGd\g -C-_- [(0, 1), (0, 6), (1, 7), (2, 3), (2, 5), (2, 7), (3, 5), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (6, 7)]
    GCQevs     G`AHz{      FOUZw -C-_- [(0, 1), (0, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQevw     GG`o~s      FPO}w -C-_- [(0, 4), (0, 7), (1, 2), (1, 5), (1, 7), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    GCQev{     G`@H~{      FCLnw -C-_- [(0, 1), (0, 7), (1, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQf?{     G@`LIs     G@`LIs -C-R- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 6), (3, 7), (4, 5), (4, 7), (5, 6), (6, 7)]
    GCQf@[     GGEIpk     GGEIpk -C-R- [(0, 5), (1, 2), (1, 6), (2, 7), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GCQf@k     GODQp[     GODQp[ -C-R- [(0, 2), (1, 5), (1, 6), (2, 7), (3, 4), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (6, 7)]
    GCQf@w     GQcOZK     GQcOZK -C-R- [(0, 2), (0, 4), (1, 3), (1, 7), (2, 7), (3, 4), (3, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    GCQf@{     GQCKj[     GQCKj[ -C-R- [(0, 2), (0, 6), (1, 3), (1, 7), (2, 7), (3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfAW     G@LQSK     G@LQSK -C-R- [(0, 7), (1, 5), (1, 6), (2, 3), (2, 4), (3, 4), (3, 5), (4, 6), (5, 7), (6, 7)]
    GCQfAk     GAMAXk     GAMAXk -C-R- [(0, 5), (1, 3), (1, 6), (2, 4), (2, 7), (3, 4), (3, 7), (4, 6), (5, 6), (5, 7), (6, 7)]
    GCQfAw     G@dKbK     G@dKbK -C-R- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 7), (3, 4), (3, 6), (4, 5), (5, 7), (6, 7)]
    GCQfA{     GAccj[     GAccj[ -C-R- [(0, 4), (0, 6), (1, 3), (1, 7), (2, 5), (2, 7), (3, 4), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfBK     G@`PXs     G@`PXs -C-R- [(0, 4), (1, 5), (2, 3), (2, 6), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    GCQfBW     GPGYa[     GPGYa[ -C-R- [(0, 2), (1, 6), (1, 7), (2, 3), (2, 4), (3, 5), (3, 6), (4, 5), (4, 7), (5, 7), (6, 7)]
    GCQfB[     GPD@Y{     GPD@Y{ -C-R- [(0, 2), (1, 5), (1, 7), (2, 3), (2, 6), (3, 4), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfBg     GBg_i[     GBg_i[ -C-R- [(0, 4), (1, 3), (1, 7), (2, 3), (2, 4), (2, 5), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfBk     GHE@Y{     GHE@Y{ -C-R- [(0, 5), (1, 2), (1, 7), (2, 3), (2, 6), (3, 4), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfBo     G?lSbK     G?lSbK -C-R- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 4), (2, 7), (3, 4), (3, 5), (3, 6), (5, 7), (6, 7)]
    GCQfBs     GDQ?z[     GDQ?z[ -C-R- [(0, 3), (0, 5), (1, 4), (1, 7), (2, 3), (2, 7), (3, 6), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfBw     GDGZE[     GDGZE[ -C-R- [(0, 3), (0, 7), (1, 6), (1, 7), (2, 3), (2, 4), (2, 6), (3, 5), (4, 5), (4, 7), (5, 7), (6, 7)]
    GCQfB{     GPD@]{     GPD@]{ -C-R- [(0, 2), (0, 7), (1, 5), (1, 7), (2, 3), (2, 6), (3, 4), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfCw     G@aaYs     G@aaYs -C-R- [(0, 4), (0, 5), (1, 6), (1, 7), (2, 3), (2, 5), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    GCQfC{     GOR?x{     GOR?x{ -C-R- [(0, 2), (0, 5), (1, 4), (1, 5), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfDS     GGEQX[     GGEQX[ -C-R- [(0, 5), (1, 2), (1, 6), (2, 7), (3, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfDW     GGCqs[     GGCqs[ -C-R- [(0, 7), (1, 2), (1, 6), (2, 5), (3, 4), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (6, 7)]
    GCQfD[     GGDSX{     GGDSX{ -C-R- [(0, 6), (1, 2), (1, 5), (2, 7), (3, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfDg     GOCiqk     GOCiqk -C-R- [(0, 2), (1, 6), (1, 7), (2, 5), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GCQfDk     G_DPX{     G_DPX{ -C-R- [(0, 1), (1, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfDo     G@O\UK     G@O\UK -C-R- [(0, 6), (0, 7), (1, 4), (1, 7), (2, 3), (2, 6), (3, 5), (4, 5), (4, 6), (5, 7), (6, 7)]
    GCQfDs     GCPcX{     GCPcX{ -C-R- [(0, 3), (0, 6), (1, 4), (1, 5), (2, 5), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfDw     GcCHj[     GcCHj[ -C-R- [(0, 1), (0, 3), (1, 7), (2, 6), (2, 7), (3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfD{     GODSZ{     GODSZ{ -C-R- [(0, 2), (0, 6), (1, 5), (1, 7), (2, 7), (3, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfES     GGEaW{     GGEaW{ -C-R- [(0, 5), (1, 2), (1, 6), (2, 5), (3, 4), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfEW     G@PPs[     G@PPs[ -C-R- [(0, 7), (1, 4), (1, 5), (2, 3), (2, 6), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (6, 7)]
    GCQfE[     GAIQX{     GAIQX{ -C-R- [(0, 5), (1, 3), (1, 6), (2, 4), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfEg     GAQHpk     GAQHpk -C-R- [(0, 5), (1, 3), (1, 4), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GCQfEk     GCPPX{     GCPPX{ -C-R- [(0, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfEo     G@O]TK     G@O]TK -C-R- [(0, 6), (0, 7), (1, 4), (1, 6), (2, 3), (2, 7), (3, 5), (4, 5), (4, 6), (5, 7), (6, 7)]
    GCQfEs     G_EaX{     G_EaX{ -C-R- [(0, 1), (0, 5), (1, 6), (2, 5), (2, 7), (3, 4), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfEw     GCU@j[     GCU@j[ -C-R- [(0, 3), (0, 5), (1, 4), (1, 7), (2, 6), (2, 7), (3, 4), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfE{     G@`Kj{     G@`Kj{ -C-R- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 7), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfFC     GCGWzK      F@_ig -C-_- [(0, 3), (1, 7), (2, 4), (2, 7), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    GCQfFG     G@IHis     G@IHis -C-R- [(0, 5), (1, 7), (2, 3), (2, 4), (2, 6), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (6, 7)]
    GCQfFK     G@_ih{     G@_ih{ -C-R- [(0, 4), (1, 6), (2, 3), (2, 5), (2, 7), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCQfFO     GAGYtK     GAGYtK -C-R- [(0, 7), (1, 3), (1, 6), (2, 4), (2, 7), (3, 5), (3, 6), (4, 5), (4, 6), (5, 7), (6, 7)]
