     Input  Canonical    Reduced
    G?AFn{     G??J~{      F?@~w -C-_- [(0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFrw     G??Nvg     G??Nvg -C-R- [(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7)]
    G?AFr{     G??Nvk     G??Nvk -C-R- [(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?AFvg     G??Njw     G??Njw -C-R- [(0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7)]
    G?AFvk     G??Nj{     G??Nj{ -C-R- [(0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFvo     G?ABzw     G?ABzw -C-R- [(0, 5), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFvs     G?ABz{      F?ABw -C-_- [(0, 5), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFvw     G?AB~w     G?AB~w -C-R- [(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFv{     G?AB~{     G?AB~{ -C-R- [(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AF~w     G??N~w      F?B~o -C-_- [(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AF~{     G??N~{       E?Bw -C-_- [(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?B@_[     G??MHg     G??MHg -C-R- [(0, 6), (1, 6), (2, 7), (3, 7), (4, 5), (5, 6), (5, 7)]
    G?B@`W     G?@KPc     G?@KPc -C-R- [(0, 6), (1, 5), (2, 7), (3, 7), (4, 5), (4, 6), (6, 7)]
    G?B@`w     G?CU@[     G?CU@[ -C-R- [(0, 6), (1, 6), (2, 7), (3, 4), (3, 5), (4, 7), (5, 7), (6, 7)]
    G?B@c[     G?B@O{     G?B@O{ -C-R- [(0, 5), (1, 5), (2, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?B@dO     GCOOPK     GCOOPK -C-R- [(0, 3), (1, 4), (2, 7), (3, 5), (4, 6), (5, 7), (6, 7)]
    G?B@dW     GCCAH[     GCCAH[ -C-R- [(0, 3), (1, 6), (2, 7), (3, 4), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?B@d[     G?AQP{     G?AQP{ -C-R- [(0, 5), (1, 6), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?B@dw     G@GCI{     G@GCI{ -C-R- [(0, 6), (1, 7), (2, 3), (2, 4), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?B@e[     G??]@{     G??]@{ -C-R- [(0, 6), (1, 6), (2, 7), (3, 5), (3, 7), (4, 5), (4, 7), (5, 7), (6, 7)]
    G?B@fO     GCG_a[     GCG_a[ -C-R- [(0, 3), (1, 7), (2, 4), (2, 5), (3, 6), (4, 7), (5, 7), (6, 7)]
    G?B@fW     GP??Y{     GP??Y{ -C-R- [(0, 2), (1, 7), (2, 3), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?B@f[     G??sR{     G??sR{ -C-R- [(0, 6), (1, 7), (2, 5), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?B@fo     GAO`C{     GAO`C{ -C-R- [(0, 7), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?B@fw     GI??\{     GI??\{ -C-R- [(0, 7), (1, 2), (1, 3), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?B@f{     G?@_v{     G?@_v{ -C-R- [(0, 7), (1, 5), (1, 7), (2, 5), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?B@hw     G??[rK     G??[rK -C-R- [(0, 6), (1, 7), (2, 7), (3, 5), (3, 6), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?B@lW     G??kqk     G??kqk -C-R- [(0, 6), (1, 7), (2, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?B@l[     G?AQX{     G?AQX{ -C-R- [(0, 5), (1, 6), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?B@lw     G??sZs     G??sZs -C-R- [(0, 6), (1, 7), (2, 5), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    G?B@mW     G?@co{     G?@co{ -C-R- [(0, 6), (1, 5), (2, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?B@m[     G??]H{     G??]H{ -C-R- [(0, 6), (1, 6), (2, 7), (3, 5), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?B@nO     G??sZo     G??sZo -C-R- [(0, 6), (1, 7), (2, 5), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6)]
    G?B@nW     G?A_zs     G?A_zs -C-R- [(0, 5), (1, 7), (2, 5), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
